text,domain,intent,split
what's the limit for my credit,2,25,val
add a new meeting with tom for 6pm,8,118,train
do you know how long its been since i had my oil changed and a tune up,5,72,train
what is 78 times 81 minus 5,7,98,train
can i use almond milk instead of rice milk,3,43,train
pay my electric bill for me,1,5,test
someone stole my capital one credit card,2,20,train
what's a good trivia fact about china,9,126,train
a bowl of cheerios with milk has how many calories,3,35,train
"i need you to place a stop on my bank account, thank you",1,1,train
i need to know what the visa card credit limit is,2,25,train
tell me if i am able to rollover my 401k,8,114,train
"google ""odell beckham free agency""",0,0,oos_test
i must know the closest gas station to glendale,5,71,test
do you know my credit rating number,2,28,val
does hypnosis work to break bad habits,0,0,oos_val
how many days off have i taken until right now,8,120,test
convert inch to cm,7,100,train
please tell me all the items on my to do list right now,4,58,train
what's my pioneer routing number,1,2,train
i'd like to know where you're from,9,128,train
my next oil change is when,5,62,train
rock music playlist,4,47,train
can you tell me today's headlines pleasei,0,0,oos_test
can you set a reminder alarm for me to workout,4,50,test
don't let payments go through using my bank account,1,1,train
please double check on my reservations for buffalo wild wings at five for the game,3,32,val
can i use sour cream instead of yogurt,3,43,train
please roll a 6 sided dice,7,104,train
what ingredients go in spaghetti,3,34,train
what's the nearest ups store to walmart,5,71,train
put $40 from account a to b,1,10,train
mark my calendar that i will be meeting steven on march 5,4,51,val
what is the weather like,7,91,test
let me know how low the air in my tires are,5,66,train
connect to my device,10,146,test
how can i get a new card that got melted in the sun,2,18,val
how much vacation have i earned,8,115,val
can you look into whether my card has good apr or not,2,23,train
how much did i spend this week,1,13,train
can you let me know what company were you designed by,9,121,test
call mark,7,97,train
have i been spending a lot on alcohol lately,1,13,train
whats the policy for delta for carry ons,6,89,val
i want my paycheck to go directly to my bank account,8,119,train
what ingredients do i need for chicken breast,3,34,train
am i okay to take those vacation days,8,106,test
how long is the wait at chipotle,3,33,val
what length of time is safe for consuming leftover meatloaf stored in the fridge,3,31,test
please call mark,7,97,val
how much did i spend on furniture last week,1,13,train
you are not wrong about that,10,139,val
what is the amount i have spent on food recently,1,13,train
thank you for that reply,9,130,test
can you remind me what i was trying to remember,4,49,train
whats the name of the playing song,4,46,train
give me examples of what some of your hobbies are,9,125,test
i must get a hotel in phoenix near chase field from january 4th to the 8th,6,88,test
can i redeem my credit card points for anything,2,24,train
does chillis take reservations,3,45,train
"cool song, what is it",4,46,val
what shots do i need before heading to france,6,85,train
what is the minimum i need to pay for my cell phone bill,1,8,train
how much do i make every 2 weeks,8,113,train
please turn on whisper mode,10,138,train
please read my shopping list,4,54,test
set reminder for 2 pm,7,92,train
may i suggest we go to the next song,4,56,test
what day it today,7,93,test
how is my insurance coverage,8,109,val
what time is my meeting with steve,8,110,train
transfer 200 dollars from paypal to savings,1,10,train
i think i want your name changed to fred,10,148,val
please include laundry on my to do list,4,48,train
any status update on my day off request,8,106,train
when will i get to my destination,6,79,train
skip to the next song please,4,56,train
how long to process my credit card application,2,27,train
what interest rate am i getting from nfcu,1,7,test
what is 543 times 344,7,98,val
i need a car rental this week,6,90,val
i need to know when i get my next day off,8,107,train
any idea where flight dl123 is right now,6,79,train
please show my current location to andre,7,95,train
is it safe for me to go to turkey,6,84,test
what's my bill's minimum payment,1,8,val
i must know how many points have i earned with my credit card,2,26,test
can you tell me my location,5,61,train
i want to book a flight reservation from texas to new york on may 9th and i want to come back on the 15th,6,87,train
how long will it take for me to get a new credit card to replace the one that was stolen,2,16,train
is flight dl123 going to arrive on time,6,79,test
what does my shopping list contain,4,54,test
how much have i spent lately on eating out,1,13,train
turn up the speaker volume,10,140,train
tell me the limit on my discover card,2,25,train
is there a wait time at bjs right now,3,33,val
read my reminder list to me please,4,49,val
what do you think i should make for dinner,3,40,train
has my package been sent,4,52,test
tell me the month that my credit card will expire,2,17,train
thank you!,9,130,train
use male voice,10,144,train
what is the correct way to say 'i am a visitor' in french,6,78,train
please say it one more time,10,143,test
what's my tax rate,8,112,val
i need to know when my flight is landing,6,79,train
what's a fun fact about eggs,9,126,train
i will need an uber for 3 to go to jfk airport,5,64,train
i would like to change your name to a different one,10,148,train
what appointments do i have tomorrow after 1:00pm,4,55,val
what's this song playing,4,46,train
add welcome to the jungle by guns n roses to my playlist,4,53,train
will you add what i'm listening to to my dinner playlist,4,53,train
why did my card not get accepted then,2,21,train
i'd like to know what to call you,9,127,train
what do i need to do now that my battery is dead,5,75,test
when was i last paid,8,111,train
when would you recommend i get my oil changed,5,62,train
what is the amount i owe on my phone,1,9,val
what is the conversion for pints to quarts,7,100,train
what's the average score on a round of golf,0,0,oos_test
time to replace my credit card,2,16,test
what's a good chili recipe,3,37,test
do i have enough pto to take time off,8,115,train
what is the minimum amount due on my cable bill,1,8,val
are you working for me,9,123,train
how do i make the perfect omelette,3,37,train
can you tell me if i will have any transactions fees for using my discover card in turkey,2,30,train
i want your name to be henry,10,148,val
possibly,10,150,train
can you let my bank know i'll be in uruguay from january to august,6,77,train
add bread to my list of things to buy,4,59,train
i'm going to start calling you alice,10,148,train
what is my balance in checking account,1,12,train
when did i last bring my car in to have it looked at,5,72,train
i've had eggs in the fridge since monday are they safe eat,3,31,train
i want to know about tourist places for bangkok,6,83,val
"ai, how long have you been working",9,134,train
i see a purchase on my chase checking that i did not make,1,15,train
can you cancel my 5:30 pm table reservation at parc,3,42,train
you were born where,9,128,train
how many day off i have taken,8,120,val
could you direct me to any good places in kentucky that serve sushi,3,41,train
what's the preparation time for this dish,3,44,test
many thank,9,130,test
how long is an oil change good for,5,62,train
how many dollars can i exchange for 5000 rubles,6,82,train
will i incur transaction fees if i use my american card internationally,2,30,test
turn on my tunes,4,47,test
i forgot my pin number to my chase account,1,3,train
does my car have enough gas to get to detroit,5,68,train
where is the nearest fry's,5,71,test
do you have my name programmed,10,137,val
i want to know what the word discomfit means,7,99,train
please play the song that goes like this: jingle bells jingle bells jingle all the way,4,47,val
"how many people have held the role of county attorney bearing the family name ""dixon""",0,0,oos_test
what questions am i allowed to ask,9,135,train
how old are you turning,9,134,test
what did i spend my money on last week,1,13,train
help me determine my interest rate,1,7,train
how long until i reach my destination,5,70,train
how many kinds of nutrients does a glass of rice milk have,3,36,train
put a block on my amalgamated bank account right now,1,1,train
my report card was lost help!,2,20,test
can you text bill and tell him i love him,7,105,test
can you get me a table for 5 at johnnys,3,39,train
what type of gas does the car use,5,73,train
how much longer before the card is mailed to me,2,16,test
what do i have scheduled on march 2nd on my calendar,4,55,train
can i start talking to you in french,10,142,train
i want to know the bill's minimum payment,1,8,train
i was at albertsons trying to buy milk when my card wasn't accepted,2,21,train
please tell me a joke about dinosaurs,9,132,train
"forget it, i do not need it anymore",10,145,train
what do you think is the meaning of life,9,122,train
turn down the lights a little please,4,60,train
show my position on the map,5,61,test
is my tire pressure high,5,66,test
what was the original name of jesus in egyptian myth,0,0,oos_test
i have a crap transaction from guitar center on my account,1,15,test
find out what this song is,4,46,train
use male voice now,10,144,train
which song is playing,4,46,train
how much have i spent this week,1,13,test
where's my phone,7,94,test
give me a list of grocery stores that sell japanese sweet potatoes,0,0,oos_test
the pets are all good,9,124,train
vacation request information,8,116,test
when's the next time i get a day off,8,107,train
if i want to travel to singapore do i need a visa,6,80,test
switch to british male accent,10,144,train
please define institutional racism,7,99,val
what happened with the summit between trump and jong,0,0,oos_test
which way do we go and how long will it take to get to the sears tower in chicago,5,70,test
that is erroneous,10,141,train
name some tourist things to do in chicago,6,83,train
do you posses any types of pets,9,124,val
which vaccinations should i get before i go,6,85,train
does kenya have any travel alerts right now,6,84,train
i want to find a roundtrip flight from philadelphia to sioux falls from august 3rd through august 25th,6,87,train
how do i change my oil out and what kind should i use,5,63,train
please send a text message to natalie for me,7,105,train
how many calories are in a can of coke,3,35,train
how long does it take to get to the sky harbor airport,5,70,train
i would like you to call me mary,10,147,train
any new info on my vacation,8,106,test
tell me ways to improve my credit score,2,19,train
ai answer my questions with my name first which is deb,10,147,test
unsync from my phone,10,146,train
"no, that information is wrong",10,141,train
what other hobbies do you enjoy,9,125,train
is there an open meeting room between 2 and 4,8,118,train
is there anything neat to do in boston,6,83,train
i can't change my oil and don't know what kind i need,5,63,train
i would like to have my card reported as stolen,2,20,train
book a motel in uptown from march 3 to march 4,6,88,val
what are the ways i can transfer my 401k,8,114,train
can i get more checkbooks for my bank of america checkings account,1,11,train
i am going to switch to greek,10,142,train
what were the reminders that i made,4,49,train
is the stop sign around the corner still knocked over,0,0,oos_test
what is on my reminder list,4,49,train
tell me any animals that you have as pets,9,124,test
i wanna know how much gas i have,5,68,train
i need help booking a car rental in seattle,6,90,train
skip this song,4,56,train
are there alot of cars on the road before the stadium,5,65,train
please set a timer for me,7,96,train
meaning of life is,9,122,train
for my visa what's my reward balance,2,26,val
text my boss for me and tell them i will be a little bit late,7,105,train
which insurance do i have,8,109,val
find me a hotel with good reviews in phoenix,6,88,test
where do black holes come from,0,0,oos_val
please change your language setting to russian,10,142,val
i had a list of reminders what were they,4,49,train
resume my metal playlist,4,47,train
what does my to-do list look like,4,58,train
can you see what the budget for the united states military was in 2018,0,0,oos_test
move on to the next song,4,56,train
where would you eat italian in chicago,3,41,train
what is the time zone of france,6,81,train
do they use special outlets in australia,6,76,train
how many more weeks until the next holiday,8,107,train
help me get my pay check deposited directly to my home checking account,8,119,train
can you confirm my reservation for torris at 7:00,3,32,train
would it be ok if i have pepper and not salt,3,43,val
can you tell me how many vacation days i've taken,8,120,train
is spaghetti healthy,3,36,train
what number is my credit score currently,2,28,test
thank you for your help,9,130,val
please read the text message i just received,0,0,oos_test
pay my cell bill from my deposit account,1,5,train
please tell me how to get a new credit card,2,29,test
give the boys my location please,7,95,train
what is the time right now,7,103,train
do you know where my luggage is,6,86,train
where can i see the due date for auto loan bill,1,4,test
check what's on my calendar for tuesday,4,55,val
what additional fees do you charge if i use my card in lisbon,2,30,train
switch off whisper mode,10,138,test
how many kilos are in 25 pounds,7,100,train
"ai, how long have you been alive",9,134,train
help me change my oil,5,63,test
let me know if you are a human or are a computer,9,133,test
what's the current weather,7,91,train
share my gps location with steve,7,95,train
what is the status of my order,4,52,train
close out my account,1,1,train
how is it going,9,131,train
is there anything real about you,9,133,train
how to keep my credit from dropping,2,19,train
what is the next song to be played,4,56,train
how do i jump start my battery,5,75,train
how much money did i spend on food last month,1,13,train
what's up with my american airline flight will it be on time,6,79,test
"i am choosing heads, now please flip that coin",7,101,train
set the timer for me please,7,96,train
what's this car get for highway driving,5,69,train
tell me my income amount,8,113,val
please remove ginger ale from my shopping list and add root beer,4,59,train
can i order new checks since i am out,1,11,val
"can you get me a car rental for march 13th to 15th in nyc, and i'd like a convertible if possible",6,90,val
i have to cancel my reservation,3,42,test
i need to know the number of days off i have taken at this point,8,120,train
please put taco night on the house calendar date of january 6,4,51,train
how is the traffic typically at noon on the route to hospital,5,65,train
"i want to know how to change oil, tell me the steps one at a time while i work through it",5,63,val
what do i currently have on my shopping list,4,54,test
how much do you start at,8,113,val
would you stop talking please,10,145,train
can i make reservations at grub burger,3,45,val
do i have butter on my list,4,54,val
is chocolate good for you,3,36,val
do i have any meetings with stan today,8,110,train
how much gas is in my car,5,68,train
how many days of pto are available,8,120,train
what's my routing number,1,2,test
what kind of gas mileage do i get,5,69,train
how soon until my tires will need to be changed,5,74,val
does france have their own version of a visa,6,80,train
can you tell me a joke,9,132,train
would you tell me when i should replace my tires next if i last replaced them on june 2,5,74,train
what steps do i need to do to set up direct deposit,8,119,train
what are your favorite things to do,9,125,train
why was a hold placed on my wells fargo account,1,6,train
please go ahead and increase your speaker volume,10,140,train
block my monkey market right now,1,1,train
when is the next scheduled holiday,8,107,train
you need to tell me my credit card's apr,2,23,test
can you identify this song that's playing,4,46,test
is there a uv or smog alert for tomorrow,7,91,train
can i increase my credit limit,2,22,val
remove jess's party from my calendar,4,51,test
find out when green book was created,0,0,oos_test
how much weight should i lift to get buff,0,0,oos_test
how busy is kaya around 5 pm,3,33,train
simulate rolling a dice and tell me what it lands on,7,104,test
whats pesos australian dollars in 20,6,82,train
pull up my grocery transactions,1,14,train
help me find some new dinner recipes,3,40,val
can you text kayla and tell them im running late,7,105,train
alert my bank and let them know that i'm travelling to london,6,77,train
please disconnect from my phone,10,146,train
is my oil change coming up soon,5,62,test
read my to-do list to me,4,58,train
please put a block on my regions account immediately,1,1,val
"how old are you, again",9,134,train
help me book a car rental in austin for april 11th to 13th get me a sedan if possible,6,90,val
are there decent seafood restaurants in portland,3,41,val
what is the solution to sixty times thirty,7,98,test
"i'm sorry, i didn't understand what you said",10,143,val
"in pacific time, what's the current time",7,103,train
i need new health care coverage,8,108,train
forget reservation at oyster bar for tonight,3,42,val
review my resume for spelling errors,0,0,oos_test
how long would i need to wait for a table at ihop right now,3,33,train
direct me to the closest starbucks near home,5,71,train
i may have had fraud committed on my account,1,15,train
i need water on my shopping list and beer off of it,4,59,test
where can i rent a car in singapore,6,90,test
please talk quietly,10,138,train
when is the next payday i can look forward to,8,111,test
what is the expiry date of my credit card,2,17,train
when should you mow your grass after it's rained,0,0,oos_test
tell me how to convert grams into ounces,7,100,train
what's the amount of vacation days i've taken,8,120,train
do you have any idea if central needs reservations,3,45,test
please tell me what the date is tomorrow,7,93,test
where should i travel to next,6,83,train
i want you to call me bailey,10,147,test
can you tell me what benefits i receive with my insurance,8,109,train
would you tell me what names you have for me,10,137,train
will my debit card go bad any time soon,2,17,val
what's the time it takes to make a decent omelette,3,44,train
"how can i say ""cancel my order"" in french",6,78,val
mute,10,145,train
you must change your language setting to russian,10,142,val
tell me how long milk stays good in the fridge,3,31,test
i wish to know the types of subjects are you familiar with,9,135,train
i would like some help finding my phone,7,94,train
what's the name of this song i'm listening to,4,46,train
help me book a place to stay from may 2 to may 4 in tampa,6,88,val
what's the temperature like in tampa,7,91,train
reminders of my list is what,4,49,train
have i added anything to my todo list,4,58,val
change your name to ginger,10,148,train
are there any travel alerts for brazil,6,84,val
make the volume set to 4,10,140,train
let me know the amounts i owe for my utilities and tuition bills,1,9,train
is it possible to apply for a new credit card,2,29,train
how long ago did i take my car to the shop,5,72,test
i must call roderick,7,97,train
can i substitute ketchup for mustard,3,43,train
suggest an italian meal for me,3,40,train
what do tourists do for fun in seattle,6,83,train
show my my most recent visa card transaction,1,14,test
i must know my water bill minimum payment,1,8,train
i have a reservation at pizza hut under the name leia roberts and i want to cancel it,3,42,train
might i be able to apply for a new credit card,2,29,train
can you book me a flight to memphis from st louis on delta airlines,6,87,test
disconnect from my device please,10,146,test
it was good to talk to you today,9,129,train
call home,7,97,train
what plug type should i use in england,6,76,train
are you really an actual human being,9,133,train
tell me how to improve my credit score,2,19,train
what do i need to do to get my car jump started,5,75,test
what is the name you have listed for my identity,10,137,train
"according to my fitness tracker, how many push ups have i done today",0,0,oos_test
what hotel would you recommend in lakewood for 4 people from monday to wednesday,6,88,train
please tell me the total calories a single serving of chocolate ice cream is expected to contain,3,35,train
what are my insurance assets,8,109,train
gracias,9,130,train
can i increase the credit limit on my kohls card,2,22,train
how do i change my current insurance to a new plan with lower co-pay,8,108,train
do you have any good recommendations for swiss cuisine,3,40,train
how do i check my rewards for my chase card,2,26,val
i cracked my rewards card can i get a different one,2,18,train
tell fred that i don't have his guitar,7,105,test
does american express charge transaction fees for iceland,2,30,train
tell me what my wells fargo credit card apr is,2,23,test
tell me the status of my credit card application,2,27,train
"please flip a coin, i choose heads!",7,101,test
what is the price to buy more data on my phone,0,0,oos_test
what is my kohls card's rewards balance,2,26,val
tell me how busy macaroni grill will be around 8 pm,3,33,train
do you know where my phone is located now,7,94,train
"today my electric bill will be paid, or should be",1,5,test
what's the name of the current song,4,46,train
what day did i last have a technician check out my vehicle,5,72,train
"i can't locate my mastercard and i want to report it as lost, please",2,20,train
when was my last payment,8,111,train
"i could use a laugh, got any jokes",9,132,test
"alexa, buy my grocery list",4,57,test
what is the correct amount of ounces in a pound,7,100,val
are my tires in need of air,5,66,train
what's the artist's name of this song,4,46,train
would you give jenny a call,7,97,train
i wanna transfer my 401k,8,114,test
what type of pet is in your home,9,124,val
what is my ac set to right now,4,60,train
what steps should i take if i want to ensure my credit score doesn't drop,2,19,test
"what's my current interest rate, if you could look",1,7,train
where can i get a w2,8,117,train
"in the central timezone, what time is it",7,103,train
how many miles will it take to get to my destination,5,70,train
can we stop this song and play the next one,4,56,train
"ai pick up the dice, then drop it",7,104,test
how much to i have left on my visa card limit,2,25,train
what topics can you answer questions on,9,135,val
will i be charged extra for using my card in spain,2,30,train
start a timer please,7,96,test
how much does my bank account have,1,12,test
give me my wallet location,0,0,oos_test
how are the interest rates at chase bank,1,7,train
i was just at target and they declined my card and i can't understand why,2,21,val
what company were you designed by,9,121,test
it was nice to speak with you,9,129,train
what is the reservation policy for spago in beverly hills,3,45,val
i would like ms johannson and ms alba to be informed of my location,7,95,train
where is your home located,9,128,train
could you tell me the routing number for my chase checking account,1,2,train
do you know the current time in southern california,7,103,train
can you make a phone call to randy,7,97,train
what are some mistakes to avoid so that my credit score stays high,2,19,train
please make sure the alarm is set,7,92,test
can you give me the carry-on rules for american airlines,6,89,val
that's incorrect!,10,141,train
where's the best place to hike in the rockies,0,0,oos_test
i need to know my cards minimum payment,1,8,train
no way!,10,141,train
i need to request a vacation,8,116,test
what are you familiar with,9,135,train
when can i hear the decision on my credit card application,2,27,train
can you tell me the expiration date for my mastercard,2,17,train
does my checking interest rate seem low,1,7,train
are you an actual human,9,133,val
i want to get a new shirt; will the money in my td ameritrade account cover it,1,12,train
who else do you work for,9,123,train
now restore the original settings,10,149,val
please give me a suggestion for what to make for dinner,3,40,train
how much total cash do i have in the bank,1,12,train
i am needing to know what kind of pets you have,9,124,train
what's the average gpa to get into yale,0,0,oos_val
tell me how much my state taxes amount to,8,112,test
did i spend too much dough on donuts last week,1,13,val
could you share my credit score,2,28,test
is pepper a replacement for salt,3,43,val
can i get a table for four at 8:00,3,33,test
what was wrong with my card yesterday,2,21,train
can you roll an eight sided die and tell me what it comes up as,7,104,test
"do i have bananas on my shopping list, if not please add it",4,59,train
how much are utilities,1,9,train
i would like to know my vacation days balance,8,115,test
has my application for discover card gone through yet,2,27,test
tell me the date it will be 5 days from now,7,93,val
what can a tourist in denver do,6,83,train
what is the temperature on the ac,4,60,train
how do i report that i lost my card,2,20,test
i need an idea for a french dinner,3,40,val
my key bank checks have run out,1,11,train
how many euros can i exchange for 200 yen,6,82,train
please let me know how much my bills for comcast and sprint total,1,9,train
what's the shelf life of guacamole in the fridge,3,31,train
can i get a higher limit on my american express card,2,22,train
what was the closing number of the nasdaq today,0,0,oos_test
what is the minimum i can pay on my cell phone bill,1,8,test
spell: dessert,7,102,val
tell my bank that i'm going to france,6,77,train
include rap god on the motivational playlist,4,53,test
on may 12 to may 16 can i get a car from aiken,6,90,train
"the dog chewed up my card, will you find out what it takes to get a replacement",2,18,train
tell me nutritional info for fish,3,36,test
let's go through my to do list items please,4,58,train
are my tires good on air,5,66,train
what type of gas do i use in this car,5,73,test
is my routing number on my account page,1,2,test
what is the apr on my master card,2,23,train
how many miles can i drive before changing my tires,5,74,train
i can't seem to find my gold card and want it reported as lost,2,20,train
is the united states a democracy,0,0,oos_val
i'd like to hear a fun fact about the nfl,9,126,train
what is the formula for the circumference of a circle,0,0,oos_train
when my credit card is going to expire,2,17,train
how much can i charge on my visa,2,25,train
yes that is correct,10,139,train
no good,10,141,val
how do i share my location with noel,7,95,train
i need to get a flight out of seattle to dulles next week for under $500,6,87,train
put a block on bank of amerian immediately,1,1,test
cookies have how many calories,3,35,train
i want an evaluation of my car's tire pressure,5,66,train
need help with frozen bank account,1,6,val
can you tell me if there are any shots that i am required to have before traveling to south africa,6,85,train
can you please put toilet paper on the shopping list i'm out of it,4,59,train
do i need a visa to leave the country,6,80,train
do you know french,10,142,train
can i use milk instead of cream,3,43,train
how might i go about jump starting a car,5,75,val
what is the total number of calories in a bag of potato chips,3,35,train
can you talk to me in chinese,10,142,train
order a disney gift card in the amount of five hundred dollars from costco,4,57,val
do you know if my vacation request went through,8,106,train
list the ingredients in pizza,3,34,train
what do i do to fix a dead car battery,5,75,train
"my car is dead, what do i need to jump start it",5,75,train
i do need to get some more checkbooks mailed to me,1,11,train
what is the time that it will take to arrive at detroit,5,70,train
what are some fun tourist things to do in mumbai,6,83,test
positive,10,139,train
"i've had eggs in the fridge since monday, are they still safe",3,31,train
what is the amount of my federal taxes,8,112,train
what things did i not want to forget,4,49,val
"how do i reset my pin number for my account, please",1,3,train
i recently lost my credit card and need to know how long it takes to get a new one mailed to me,2,16,test
make the volume 4,10,140,train
roll dice,7,104,train
how many ts are in tethered,7,102,train
call robby,7,97,train
i need to set a timer,7,96,train
can you whisper,10,138,train
i need you to confirm my reservation for kevin at red robin,3,32,train
"can you call me a different name, please",10,147,test
read my reminders please,4,49,train
can you repeat what you said,10,143,val
how much is my maximum to spend on credit cards,2,25,test
when does the jerky expire,3,31,test
what time is my flight supposed to board,6,79,train
set a timer for fifteen seconds,7,96,train
find instructions on baking lemon cake,3,37,val
i want to hear jokes about toddlers,9,132,val
open bank app and show my most recent transactions,1,14,test
i would like you to put a stop on my bank account,1,1,train
can you tell me what you are called,9,127,test
i need to know if i have any meetings scheduled for today,8,110,train
how often should i have my oil changed,5,62,train
please speak with the whisper voice,10,138,train
make reminder to pay rent on the 30th of every month,4,50,train
what do i do if my visa card got stolen,2,20,train
"play the song that goes, ""starships were meant to fly",4,47,test
tell me what my day looks like today in terms of meetings,8,110,train
what organization do you work for,9,123,train
how much do i have to pay on my amazon card this month,1,9,val
tell carl my gps coordinates,7,95,train
what place were you made at,9,128,val
can you get a coin and flip it,7,101,train
how do i report my card if it got cut in half,2,18,train
"that answer was very helpful, thanks",9,130,test
"great, thanks!",9,130,test
would you please put a block on my chase account right away,1,1,train
was the god osiris a titan or an old god,0,0,oos_test
i'd like alarms set for 11am and 132pm,7,92,val
please begin pairing with my phone,10,146,train
which medicine to relieve my cough,0,0,oos_test
check if my vacation time has been approved,8,106,val
what is the quickest way to get a new card,2,16,train
"make an uber reservation to the ymca, center city, philadelphia, please",5,64,train
i need help acquiring new insurance,8,108,train
flip that coin please,7,101,train
what number do you get when you roll one six sided die,7,104,train
get me my slow sounds,4,47,test
i want to know my spending limit,2,25,train
"can you tell me how i would say, 'more bread please' in french",6,78,train
what's the nutrition info for a pound of chicken,3,36,test
i wanna know what the traffic typically like at 3:30 on the route to phoenix,5,65,train
what is saas marketing,0,0,oos_train
who has the tax form that shows my wages,8,117,train
can you please talk slower,10,136,train
have they looked over my app for the new credit card yet,2,27,train
how do i add someone to my account,0,0,oos_test
i would like to cancel my reservation for nenuco's restaurant to x- tapas,3,42,val
how about any bookings in new york city from april 2 through april 8,6,88,train
phone sarah,7,97,train
define qat for me,7,99,train
what sorts of things do you do to have a good time,9,125,train
how will i change my car's oil,5,63,train
could you tell me how to get to the statue of liberty by bus,5,71,train
what interest rate am i getting from citigroup,1,7,train
how many mpg does this rig get when i'm in the city,5,69,train
slow your speech down,10,136,train
let me call you fred,10,148,train
i need you to set alarm for me,7,92,train
what kinds of things are you supposed to remind me of,4,49,test
please make a reservation for 2 at olive garden for 5 pm today,3,39,train
are barcelona plugs compatible,6,76,train
can you inform me what my apr is on my visa,2,23,train
inform my bank i'm traveling to australia between february 23rd to february 25th,6,77,test
remove jake's birthday on march 22,4,51,train
how do i put in a pto request for the first to the ninth,8,116,train
do i have any vacation time left,8,115,train
what is the amount of dollars i get if i trade in 6 yens,6,82,train
thanks so much!,9,130,train
will i need vaccines for my trip,6,85,train
i want you to roll a dice,7,104,train
what is the status of my credit card application looking like,2,27,val
tell me the nutritional information for chicken nuggets,3,36,train
"if you flip a coin, i call tails",7,101,train
what do i have to do if i lost my luggage,6,86,test
can i get the interest rate for my checking account,1,7,test
tell me the credit on my mastercard,2,25,train
tell me the price of bananas at whole foods this week,0,0,oos_test
what do you think about me calling you cora,10,148,test
i shall remove fishing from my calendar for soccer,4,51,train
next song,4,56,test
what is the balance on my vacation days,8,115,test
what is the calorie count for one cookie,3,35,train
i would like to know how to rollover my 401k,8,114,train
are there any transaction fees associated with my amex card if i am in the uk,2,30,train
text my wife and tell her i'm divorcing her,7,105,train
i want to make sour dough bread please find a good recipe for me,3,37,train
can you put mopping on my to do list,4,48,train
what different pets do you have,9,124,val
how do i get to the bus stop on foot,5,71,val
what do i say when i report a split credit card,2,18,train
how long does a roast take,3,44,train
where do i find the routing number for nfcu,1,2,train
configure this to factory settings,10,149,val
i'd like you to disconnect from my phone,10,146,train
book a reservation for 6 at shakey's under the name jason,3,39,train
look up the ratings for olive garden,3,38,train
what creatures do you keep for love,9,124,val
what company created you,9,121,train
is it recommended to get any specific shots before i travel to iceland,6,85,train
i want to verify my reservation for the 18th at 1pm,3,32,train
how long can i store eggs in the fridge,3,31,train
tell me some things to do in phoenix,6,83,test
can i just use oil instead of vinegar,3,43,test
who made you,9,121,test
can you tell me my visa's reward balance,2,26,val
walk me through on how to make a vacation request,8,116,test
tell me my credit card apr,2,23,train
my account is showing a charge to venmo that i did not make,1,15,train
good evening,9,131,train
what are my coffers at,1,12,test
can i hear the beatles,4,47,val
what's the status on my vacation days,8,115,train
take $20000 from savings and put it in checking,1,10,train
i'm going to need an uber for 4 people to go to patty's bar,5,64,test
tell me what my health plan is called,8,109,train
transfer 50 dollars from my checking account to my money market account,1,10,val
may i start referring to you as jeff,10,148,train
hell nah,10,141,val
i just started this new job and need help with my 401k rollover,8,114,train
is my milk safe to drink after being in the refrigerator for a week,3,31,val
is the movie avatar culturally insensitive,0,0,oos_test
at how many miles am i required to get my oil changed,5,62,train
how do you convert pounds to kilograms,7,100,train
"um, i'm not sure",10,150,test
i need to get on a new united healthcare insurance plan,8,108,train
you could say my name is nick,10,147,val
what is meant by defense,7,99,train
i need to know how to spell xylophone,7,102,train
what is on my schedule for the day of march 5th,4,55,train
i no longer need to wash dishes; take it of my list,4,48,train
what do you think the meaning of life is,9,122,train
when do i get my next check,8,111,train
can you tell me my checking account balance,1,12,train
so what is my current name saved as,10,137,train
where can i find when my car payment bill is due,1,4,test
what was that last thing you said,10,143,train
what's my car's miles per gallon,5,69,train
i'd like to change the pin number on my visa account,1,3,val
can you teach me how to change my oil in my car,5,63,test
translate hello into french for me,6,78,train
how do i order some more checks for my navy federal account,1,11,test
i need to catch an uber to cal expo,5,64,train
"never mind, cancel that",10,145,train
do you know the nutritional info for macaroni and cheese,3,36,train
im not certain,10,150,train
how can i use make up to cover a cut on my cheek,0,0,oos_test
who do i report lost luggage to,6,86,train
delete jury duty from my calendar for may 7th,4,51,test
give me instructions on how to change my oil,5,63,train
how much is the bill for my water and electricity,1,9,train
what was your place of creation,9,128,train
leave whisper mode,10,138,test
make a list of stocks that would be good to invest in to start making money,0,0,oos_test
"is there any traffic on the road i take home from work right now, rt 40",5,65,val
did i remember to put milk in the shopping list,4,54,train
can i make a car maintenance appointment,5,67,test
what is 22+ 6,7,98,train
what's my pay for the year,8,113,train
"i'd like an uber for 6 people, going to walmart",5,64,test
i need to make a transfer of my money,1,10,test
would you set up an alarm for me,7,92,train
what's the annual rate on my discover card,2,23,train
i need to know my health benefits,8,109,train
i would like to try and confirm that i have a reservation at chili’s for melinda,3,32,train
what is the smallest i can pay on the water bill,1,8,train
please start counting down from 10 minutes,7,96,train
good bye,9,129,test
i need to know about travel alerts for mexico,6,84,train
how does one jump a car,5,75,train
is it time for an oil change,5,62,train
how often do tires need changing,5,74,train
how long is the chicken gonna take,3,44,train
help me figure out where my cell phone is,7,94,train
can you tell me how to solve simple algebraic equations with one variable,0,0,oos_test
im going to call you xander,10,148,test
i am glad that you did that,9,130,val
let me know how to make a vacation request,8,116,val
what is the process for making a vacation request,8,116,val
whats the timezone for san fransico,6,81,train
how many stars does brasserie les halles have,3,38,test
